"","FEM.CT.1","FEM.CT.2","FEM.CT.3","FEM.CT.4","FEM.CT.5","FEM.CT.6","FEM.CT.7","FEM.CT.8","FEM.CT.9","MALE.CT.1","MALE.CT.2","MALE.CT.3","MALE.CT.4","MALE.CT.5","MALE.CT.6","MALE.CT.7","MALE.CT.8","MALE.CT.9","FEM.AD.1","FEM.AD.2","FEM.AD.3","FEM.AD.4","FEM.AD.6","FEM.AD.7","FEM.AD.8","FEM.AD.9","MALE.AD.1","MALE.AD.2","MALE.AD.3","MALE.AD.4","MALE.AD.5","MALE.AD.6","MALE.AD.7","MALE.AD.8","MALE.AD.9"
"RBM5",7.81404451002925,8.39348066485544,8.15541963347847,8.06211688491597,8.25456323925434,7.99474339956501,8.5230156023192,8.1435380139831,7.75716084356078,7.68086611873469,7.7418422338423,7.97456477579426,7.87188567727626,8.21839012733345,7.70670524463719,8.28064127515187,7.67654480746289,6.54487050588178,6.75383939880752,6.66567277066174,6.2492434782949,5.88121054398572,7.69157734941246,8.15008699355246,8.06211688491597,7.00960142866179,8.41656160046805,8.42345998606586,8.32652662535004,7.57803613089729,8.02967451852368,7.92890257665236,8.22488958862677,7.77189085727703,7.91547582072115
"LOC101929122",4.98605383565304,4.28452064945042,4.46715519387725,3.90233538666792,5.55278307096272,4.25775344244884,4.06506957655389,4.61132783127587,5.18965859107454,4.36147263854686,3.94832598666199,4.84684119774417,6.13583779701281,5.56150831134436,4.76271490546076,4.41889431251166,7.39089184875569,6.83987474441978,6.6026197868061,6.10171797332031,7.16244209423251,6.63690101239966,6.79950720053832,4.31623567542969,3.90233538666792,6.5806979270619,4.32265011793271,4.28882567914834,4.84568962303886,3.9836412934847,4.18254318674301,4.78079996725275,4.53576082366153,3.94200943653169,4.26110845541684
"ADAM10",7.71863884848555,7.60122564592712,7.26315817213216,6.73359665025138,7.10569981671056,6.8181045066351,8.20002345606216,6.4983808191618,7.61526797564655,6.78251408691659,6.5597226011795,7.61098914234338,7.29353253676849,7.30325014315321,7.21444941974971,6.91635482651653,6.96109895715821,6.13111898728607,6.41763708097946,5.42188099583318,6.39113651522094,5.40969962865047,6.80605460761814,7.34236133231471,6.73359665025138,5.89137245761143,6.87094928716851,8.06974319808425,7.60394579595989,7.55458184138548,7.35438971437351,6.87026891614872,7.54858329345188,6.80476279844046,7.54500159912728
"MARCHF6",5.68265314276637,6.7177531233554,5.71485468426704,5.84406566358346,5.49785647457757,5.82044517320923,6.79863308858666,5.75756551432934,5.20298321455931,5.75352556650217,6.57305642910711,5.05609594161028,6.38287540397055,5.99442115627876,6.10576240397837,6.2470252328007,5.65336612261874,4.77479836353891,4.78111428784038,4.15242793304328,4.6264767105518,4.31259447152367,5.80149179330077,5.86944206218729,5.84406566358346,4.15834899158671,5.69999562009215,5.96605097633835,6.0004423543538,6.07653529896798,6.09783983205082,6.1344248918583,6.36597933370387,5.50739965581764,6.78070127094813
"LANCL1",9.65735210987967,9.68875081572261,9.47141314102428,8.74980870150442,9.24576139821696,8.44944105312943,10.5782086759653,8.62014735840082,8.89968625673019,8.98025518419958,7.89030646172249,9.45300320818565,9.71122036316744,9.6200910829943,9.35154547723352,9.37471463461844,9.12381249198637,8.1782924773544,8.24499412806641,7.45230867671548,7.90577835190694,7.34270050137095,9.53514283707669,10.2619645716221,8.74980870150442,7.67365313139193,9.7288020335179,9.05962020863879,10.0400439573388,8.54061181356861,9.60010587398073,9.55422793524089,10.0376554571028,9.41020909582307,10.4061538978737
"ATP8A1",8.31968860142858,8.70089823943312,8.36895908282668,7.54212777354507,8.16827518309641,7.77298212737288,9.60998578816134,7.56725168444261,7.89402369873101,7.86508154868045,6.86848920154951,8.61145397499334,8.67317441904336,8.69171502442951,8.0245427422451,8.66745579985267,8.18137149876588,6.25873905351073,6.06100799995805,5.4210489164651,6.24616574050591,4.92752526967894,8.41300200223625,8.92303170053976,7.54212777354507,5.73924864269773,8.81139533201857,9.26158564302261,8.93158542870623,7.78682251404213,9.0087869766878,8.46536298042115,9.18843689481405,8.59013067683623,8.60229539716662
"NCOA2",5.6024004662408,6.34753883239802,5.662226503393,4.7532383664896,5.46777497465895,4.47950540433346,6.35739173765479,4.63609414879282,5.53064858395022,5.19648368615684,5.75514982416771,5.59586842208445,6.16127149303654,5.57038950806069,5.62016858241449,5.22765066277128,6.25048765546396,4.40503607720192,4.50273306718373,3.4028904735995,4.06864589775079,3.3401408086776,5.76163176309879,5.72237802625458,4.7532383664896,3.56534690284951,5.2386467549475,5.8667737923206,6.03997996401733,5.53765144283216,6.56816965653624,5.38172503982577,5.78841758109894,4.99767059881821,5.86777903631462
"EXOC5",8.60771360268068,8.94349767471099,8.28745846395013,8.0560843511387,8.47850834587178,8.19821432836497,9.20374169721082,7.69275161775189,8.42412047283944,8.35413082638653,8.23332239844584,8.51454071632593,8.7270419178453,8.55791006723723,8.37744808551024,8.27458056210521,8.46543356920687,6.87660421469852,7.03928784318369,5.24648913846998,6.36006706980323,5.0106791290843,8.45918252883414,8.69515423919085,8.0560843511387,5.32290351206803,8.22161618552554,8.4317984666405,8.83058488728191,9.12027649265013,8.88010787450552,8.04363826122475,8.65262941800198,8.58482249722167,9.13289090962784
"GNA13",8.0396992526482,8.21984153370272,7.59184263718321,6.84753445402079,7.45496079477805,7.72224319168228,8.27817385727206,6.62496144862634,7.72828784225585,6.51115027692669,7.25838056738418,7.37157782935538,7.18196031359452,8.20372084190689,7.73869259723004,7.28222568038865,6.94278802888363,5.40205751979036,6.09354121786141,4.93943142264057,5.38850587303702,4.49214315647595,5.89271527879362,7.60732120085205,6.84753445402079,4.97354623892081,6.58374268852068,7.25354481405849,8.08281722775404,6.90695438296001,7.39207416208563,6.52092070841395,7.46583966737785,6.14212781408788,7.64463219426477
"OGA",6.10083530723504,5.81585412183661,6.02580273509433,6.11973458802308,6.11946713227036,6.19686563697037,6.45745417027884,6.10602694081109,5.97313576006205,6.14771140538277,5.23487323698472,5.92490820396242,6.35183124549732,6.34106955077207,6.09012182728469,5.98277034500423,5.93018257666897,4.54753291097268,4.87315814935281,4.07296553161161,4.31704761025321,4.01184615178276,5.61493744799691,6.43020465505871,6.11973458802308,3.69102317087977,5.97582223016216,6.70352268301672,6.14494690401435,6.06338029632169,7.25980201503955,5.77185495153414,6.59928027448918,5.41141224344628,5.6481349738787
"MAP3K2",7.16577678481171,7.36662535255651,7.13784294838405,6.63370029799585,7.34783340728722,7.14907275924872,7.65378368959987,6.76836419016111,7.1127632723624,6.92085045825764,7.02248310185831,7.11288513872654,7.12717954041602,7.31610585383549,7.2462279846974,7.21519704353109,7.15826373233249,5.38095123415924,5.8191882514705,4.72047541972189,5.78456127480119,5.28286934624409,6.75561108330878,7.24231003878837,6.63370029799585,5.06738451600763,6.92118167033747,7.40738250805871,7.39105155938885,7.72975610418606,7.30764797866371,6.62678020417948,7.40280606432091,6.86675371357664,7.23900050350579
"NUDT21",6.94631538561647,7.19092268491048,6.32028747401035,6.37652278649389,6.53638876104658,5.98521856701761,7.77690343433498,5.72241305722351,6.25011437420579,6.50758134065119,6.37044447343928,6.49534248763652,7.31173416725652,6.8111913388952,6.71371988928122,6.49640292017284,6.66833837717912,5.82311583780791,5.73957948272817,5.12694036785449,5.71208465389331,4.73608811213247,6.69715838426987,6.88546692742354,6.37652278649389,5.33535150746997,6.37929804452085,6.28884735067835,6.95134135541171,7.44445209083102,7.86373580249014,6.31808025668857,6.96347261185513,7.00165045900122,7.80380052036034
"SUPT16H",8.7428886627205,8.74841906698838,8.53851033078835,8.49784230404197,8.70730352880344,8.53551251051105,9.10879378168104,8.43134273771221,8.40295664787501,8.46588227760693,9.01006013829407,8.08011378285383,8.68815207713409,9.23518383016996,8.45630507301615,8.76700557363568,8.01122376681071,7.652866986446,7.68272539483877,6.662803930739,7.45863428806194,6.42484553771424,8.42878511232914,8.5720494701302,8.49784230404197,7.81715371647398,8.35840415745925,8.49368162119384,8.82854098266787,9.07264303482348,8.93284972343817,8.5475312942723,8.72456535425958,8.29119192463743,9.20410120354225
"RASSF8",6.42154259827212,7.21863914654818,6.35940749706475,5.9841484115804,6.44296636966489,6.15749341418541,7.36163041415607,5.86312536735668,6.59091034185511,5.85049598473214,6.33480369686752,6.1578301450732,6.24809862210346,6.50631624531001,6.47121494339096,6.21876711647593,6.42494427285661,4.09103155805963,4.67684166135415,4.35666890114264,4.30184943425024,4.4820399156325,5.717789730538,6.18501947558331,5.9841484115804,4.22143956760335,5.4417842262973,5.90639689053042,6.63372110635695,6.51556353277497,6.32220486580676,5.29378017852451,6.38430188471533,5.36417654630543,6.84772349381295
"LRRC58",4.78350947017251,4.81452541707323,4.86298095489577,4.44625255684134,5.20791641714909,4.38452543028151,5.36519468670398,4.13576745456361,5.33667345763978,4.29718028354852,4.40203363680984,4.96120415763015,4.17255823675711,4.56144030978367,4.35430378309111,4.3068672729944,4.1268276904464,3.51511325197589,3.58540172158912,3.01894503518693,3.35835954911536,3.02409221900917,4.24444945796825,4.85979878785507,4.44625255684134,3.63047947135139,4.9440838280336,5.12431636595417,4.86550042305767,4.1533118940972,4.43823094419521,4.32016386584583,5.52950374834919,4.08003656512364,5.6066541836632
"FGD4",7.00407286654017,6.96835912576601,6.68544552113924,6.16524207156799,6.40723327543557,6.1093479787258,7.38108323545072,5.83251647593509,6.53519619627487,6.10125966806037,7.00128796266946,6.15002021111667,6.91352377227286,7.03179177213643,6.50679662282827,6.93538722796111,6.61787461089516,4.48782604292188,4.59645722494133,4.68781031136526,4.48576818647443,4.18555845694118,6.34170937445118,6.78775031906938,6.16524207156799,4.05456004055695,6.05878013609284,6.15538084656569,6.9168073900093,5.60548398362368,7.19073699837097,6.07500760164385,6.82628213738447,6.01353896521385,7.32491002855361
"CNGB1",4.8884423763631,5.44723198935802,6.29062063663198,6.94646641155814,6.02759756976104,7.03302004766022,5.00891831790503,5.92940478526276,5.50239011211616,5.89706449516503,5.66677840954729,5.30959540210333,6.22418291269196,5.8986621415079,7.24623749330846,5.74988374784932,5.76134034388951,6.72872223598532,7.69040107768921,7.07517661818817,6.95811715589037,7.05145814002571,6.93205966512399,6.52862424587134,6.94646641155814,7.24577184113285,5.51541456105064,4.77813416901566,6.19021202244487,5.50029978567226,6.51202515624814,6.03116890864808,6.72718156726763,5.20313433311465,5.79649171146396
"CCSAP",5.86847178497669,5.80884010517827,5.46837441281624,5.29728440400067,5.76273117283743,4.70771531678646,6.74686202697341,5.13299063774768,5.97096511442408,5.90727408064987,5.47072947785793,5.55530195803803,6.70158023920591,5.8335125772556,5.7299064431377,5.80264595737874,6.03821154612751,5.0692817835372,5.48732241443886,5.0202288473133,5.53352022256697,4.66324098284361,5.94399496450518,6.28842093742185,5.29728440400067,4.64486177386977,5.8020234729629,6.22336016797815,6.20543782295704,7.54754316991729,7.29106026822053,5.75672166655947,6.21542538918212,5.99862055368651,6.36730474395966
"CPEB2",8.02932796244188,7.95504384113411,8.06805475919501,7.94703331564578,8.4006712235616,7.55395609322881,8.89288239041559,7.72696433763728,7.99872162320903,7.76642697833482,7.07039210325261,8.06362588417977,8.31967341977132,8.42844062036537,7.93890627049435,8.25428960919907,7.6794463342369,6.75313388278728,6.85287065115397,6.26220027928237,6.41766321017728,5.987335033297,7.97538393817024,8.19159125463498,7.94703331564578,6.50308041044774,8.1683190667142,8.59336469967082,8.26717217603658,7.91478709556774,8.55204411511124,7.97218908350104,8.47933652541074,7.91173532349025,7.96997888895171
"HINT3",7.00634359632689,6.01643275304229,6.85083277569885,6.92001608163085,7.00799514271001,6.37615535401352,7.3413879053475,7.66157806098679,7.36573301928354,7.14603136743074,6.86150546037361,6.73765666555073,6.8624072679469,6.73053290741029,6.49818749670553,6.84808132851922,6.90586937623464,8.75633610252133,9.77100128841174,9.66768351833122,8.30614956520404,8.67246740948043,7.60891215117508,6.44478168113511,6.92001608163085,9.05267799699539,6.68126981171789,6.45638260292791,6.89078383040342,6.45376659570559,6.38324368721162,7.08503818354159,6.88909657105001,7.70442018841534,7.21683212919677
"CPD",7.62363480302939,7.44139087719542,7.31171174008165,6.37019773371127,7.31374751673209,7.75601379659249,8.15719325330433,6.44211863420544,7.41682552392157,6.90209104980498,6.97351442395079,7.85458250099851,7.58118283902335,7.37338581247201,7.18077026071834,7.40104214615394,6.88424567465452,5.68069175997286,5.63653253747609,5.12322842104709,5.79525479880338,4.43891890856896,7.32969070194002,7.84631727053117,6.37019773371127,5.50826863460643,7.61997465668612,7.75074347197463,7.80323069129434,7.51056594163944,8.12358564747343,7.00383597152486,7.60567570580527,7.25393091090015,8.00738064263843
